Sample.ID_mdata,pcr2$Sample.ID,match
Yale-8655,Yale-8655,1
Yale-8656,Yale-8656,1
Yale-8657,Yale-8657,1
Yale-8658,Yale-8658,1
Yale-8659,Yale-8659,1
Yale-8660,Yale-8660,1
Yale-8661,Yale-8661,1
Yale-8662,Yale-8662,1
Yale-8663,Yale-8663,1
Yale-8664,Yale-8664,1
Yale-8665,Yale-8665,1
Yale-8666,Yale-8666,1
Yale-8667,Yale-8667,1
Yale-8668,Yale-8668,1
Yale-8669,Yale-8669,1
Yale-8670,Yale-8670,1
Yale-8671,Yale-8671,1
Yale-8672,Yale-8672,1
Yale-8673,Yale-8673,1
Yale-8674,Yale-8674,1
Yale-8675,Yale-8675,1
Yale-8676,Yale-8676,1
Yale-8677,Yale-8677,1
Yale-8678,Yale-8678,1
Yale-8679,Yale-8679,1
Yale-8680,Yale-8680,1
Yale-8681,Yale-8681,1
Yale-8682,Yale-8682,1
Yale-8683,Yale-8683,1
Yale-8684,Yale-8684,1
Yale-8685,Yale-8685,1
Yale-8686,Yale-8686,1
Yale-8687,Yale-8687,1
Yale-8688,Yale-8688,1
Yale-8689,Yale-8689,1
Yale-8690,Yale-8690,1
Yale-8691,Yale-8691,1
Yale-8692,Yale-8692,1
Yale-8693,Yale-8693,1
Yale-8694,Yale-8694,1
Yale-8695,Yale-8695,1
Yale-8696,Yale-8696,1
Yale-8697,Yale-8697,1
Yale-8698,Yale-8698,1
Yale-8699,Yale-8699,1
Yale-8700,Yale-8700,1
Yale-8701,Yale-8701,1
Yale-8702,Yale-8702,1
Yale-8703,Yale-8703,1
Yale-8704,Yale-8704,1
Yale-8705,Yale-8705,1
Yale-8706,Yale-8706,1
Yale-8707,Yale-8707,1
Yale-8708,Yale-8708,1
Yale-8709,Yale-8709,1
Yale-8710,Yale-8710,1
Yale-8711,Yale-8711,1
Yale-8712,Yale-8712,1
Yale-8713,Yale-8713,1
Yale-8714,Yale-8714,1
Yale-8715,Yale-8715,1
Yale-8716,Yale-8716,1
Yale-8717,Yale-8717,1
Yale-8718,Yale-8718,1
Yale-8719,Yale-8719,1
Yale-8720,Yale-8720,1
Yale-8721,Yale-8721,1
Yale-8722,Yale-8722,1
Yale-8723,Yale-8723,1
Yale-8724,Yale-8724,1
Yale-8725,Yale-8725,1
Yale-8726,Yale-8726,1
Yale-8727,Yale-8727,1
Yale-8728,Yale-8728,1
Yale-8729,Yale-8729,1
Yale-8730,Yale-8730,1
Yale-8731,Yale-8731,1
Yale-8732,Yale-8732,1
Yale-8733,Yale-8733,1
Yale-8734,Yale-8734,1
Yale-8735,Yale-8735,1
Yale-8736,Yale-8736,1
Yale-8737,Yale-8737,1
Yale-8738,Yale-8738,1
Yale-8739,Yale-8739,1
Yale-8740,Yale-8740,1
Yale-8741,Yale-8741,1
Yale-8742,Yale-8742,1
Yale-8743,Yale-8743,1
Yale-8744,Yale-8744,1
Yale-8745,Yale-8745,1
Yale-8746,Yale-8746,1
