File Name,20210827_Variant81_MB.pcrd,,,,,
Created By User,admin,,,,,
Notes,,,,,,
ID,,,,,,
Run Started,08/27/2021 15:53:44 UTC,,,,,
Run Ended,08/27/2021 17:06:36 UTC,,,,,
Sample Vol,20,,,,,
Lid Temp,105,,,,,
Protocol File Name,Luna_Variant-PCR_Program.prcl,,,,,
Plate Setup File Name,Luna_Variant-PCR_Plate.pltd,,,,,
Base Serial Number,CT050044,,,,,
Optical Head Serial Number,785BR27304,,,,,
CFX Maestro Version,4.1.2433.1219. ,,,,,
,,,,,,
Well group,All Wells,,,,,
Amplification step,4,,,,,
Melt step,,,,,,
,,,,,,
,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
H01,Cy5,ORF1a-del,Unkn,,NaN,NaN
H02,Cy5,ORF1a-del,Unkn,,24.2591109280669,NaN
H03,Cy5,ORF1a-del,Unkn,,31.0446319426489,NaN
H04,Cy5,ORF1a-del,Unkn,,26.1222295759819,NaN
H05,Cy5,ORF1a-del,Unkn,,38.7632894309333,NaN
H06,Cy5,ORF1a-del,Unkn,,30.2769086628527,NaN
H07,Cy5,ORF1a-del,Unkn,,31.9377976547203,NaN
H08,Cy5,ORF1a-del,Unkn,,38.0423123470759,NaN
H09,Cy5,ORF1a-del,Unkn,,27.6815698740143,NaN
H10,Cy5,ORF1a-del,Unkn,,28.1915974333242,NaN
H11,Cy5,ORF1a-del,Unkn,,24.2411512823284,NaN
H12,Cy5,ORF1a-del,Unkn,RNA 1E3,31.0495101694801,NaN
A01,FAM,N1,Unkn,,33.9953211404892,NaN
A02,FAM,N1,Unkn,,20.9233351888151,NaN
A03,FAM,N1,Unkn,,24.7864452858379,NaN
A04,FAM,N1,Unkn,,36.1229921912808,NaN
A05,FAM,N1,Unkn,,38.5733214114422,NaN
A06,FAM,N1,Unkn,,26.1365038513627,NaN
A07,FAM,N1,Unkn,,NaN,NaN
A08,FAM,N1,Unkn,,38.133311308254,NaN
A09,FAM,N1,Unkn,,25.1307280942886,NaN
A10,FAM,N1,Unkn,,27.7003719503291,NaN
A11,FAM,N1,Unkn,,23.4298294324851,NaN
A12,FAM,N1,Unkn,,NaN,NaN
B01,FAM,N1,Unkn,,25.371258428971,NaN
B02,FAM,N1,Unkn,,22.4306536433933,NaN
B03,FAM,N1,Unkn,,23.6274797719523,NaN
B04,FAM,N1,Unkn,,19.0463313286693,NaN
B05,FAM,N1,Unkn,,NaN,NaN
B06,FAM,N1,Unkn,,28.9879593523042,NaN
B07,FAM,N1,Unkn,,35.7657148466171,NaN
